title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Some Like It Hot,"$100,026","$95,621,294","$95,721,320",China Lion Film Distribution,"$42,230",10 theaters,N/A,N/A,Comedy,"Jan 13, 2017"
Munna Michael,"$99,629","$89,476","$189,105",Eros International,"$64,949",75 theaters,N/A,N/A,"Action, Drama, Music, Romance","Jul 21, 2017"
The Lure,"$101,657","$7,189","$108,846",Janus Films,"$7,370",7 theaters,N/A,N/A,"Drama, Fantasy, Horror, Musical, Thriller","Feb 1, 2017"
The Bolshoi Ballet: Live From Moscow - A Hero of Our Time,"$104,837","$30,331","$135,168",Fathom Events,"$104,837",401 theaters,N/A,N/A,N/A,"Apr 9, 2017"
Walking Out,"$101,947","$60,498","$162,445",IFC Films,"$5,462",32 theaters,N/A,PG-13,"Adventure, Drama, Thriller","Oct 5, 2017"
Fabricated City,"$104,874","$18,202,616","$18,307,490",CJ Entertainment,"$24,808",7 theaters,N/A,N/A,"Action, Crime, Thriller","Feb 24, 2017"
Like Crazy,"$107,362","$8,921,788","$9,029,150",Strand Releasing,"$5,799",13 theaters,N/A,N/A,"Comedy, Drama","May 5, 2017"
SEED: The Untold Story,"$207,825","$1,755","$209,580","Collective Eye, Inc.",N/A,35 theaters,N/A,N/A,Documentary,"Aug 22, 2016"
Slack Bay,"$112,621","$4,812,825","$4,925,446",Kino Lorber,N/A,7 theaters,N/A,N/A,"Comedy, Fantasy","Mar 10, 2017"
Reset,"$108,970","$29,840,282","$29,949,252",Well Go USA Entertainment,"$54,276",20 theaters,N/A,N/A,"Action, Sci-Fi, Thriller","Jun 30, 2017"
The Trouble with Terkel,"$110,289",N/A,"$110,289",Indican Pictures,"$32,784",12 theaters,N/A,N/A,"Animation, Comedy, Drama, Musical, Thriller","Feb 3, 2017"
The King's Choice,"$113,231","$9,904,085","$10,017,316",The Samuel Goldwyn Company,"$7,850",10 theaters,N/A,N/A,"Biography, Drama, History, War","Sep 22, 2017"
Abacus: Small Enough to Jail,"$113,278",N/A,"$113,278",PBS Distribution,"$12,528",8 theaters,N/A,N/A,Documentary,"May 19, 2017"
"We Love You, Sally Carmichael!","$113,435",N/A,"$113,435",Purdie Distribution,"$30,951",11 theaters,N/A,PG,Comedy,"Aug 4, 2017"
Big Sonia,"$212,471",N/A,"$212,471",Argot Pictures,"$4,398",4 theaters,N/A,N/A,"Documentary, Family, History","Nov 17, 2017"
The Thousand Faces of Dunjia,"$124,187","$46,139,050","$46,263,237",Well Go USA Entertainment,"$57,837",27 theaters,N/A,N/A,"Action, Adventure, Fantasy","Dec 15, 2017"
Our Time Will Come,"$114,560","$9,370,154","$9,484,714",China Lion Film Distribution,"$50,619",18 theaters,N/A,N/A,"Drama, War","Jul 7, 2017"
Inferno,"$34,343,574","$185,677,685","$220,021,259",Sony Pictures Entertainment (SPE),"$14,860,425","3,576 theaters","$75,000,000",PG-13,"Action, Adventure, Crime, Drama, Mystery, Thriller","Oct 28, 2016"
Explosion,"$122,700","$7,608,710","$7,731,410",China Lion Film Distribution,"$55,307",34 theaters,N/A,N/A,"Action, Thriller","Nov 24, 2017"
Buena Vista Social Club: Adios,"$123,445","$578,130","$701,575",Broad Green Pictures,"$64,469",80 theaters,N/A,PG,Documentary,"May 26, 2017"
The B-Side: Elsa Dorfman's Portrait Photography,"$125,227",N/A,"$125,227",Neon,"$12,035",25 theaters,N/A,R,Documentary,"Jun 30, 2017"
City of Ghosts,"$128,015","$100,210","$228,225",IFC Films,"$13,601",18 theaters,N/A,R,"Documentary, War","Jul 7, 2017"
Marie Curie: The Courage of Knowledge,"$127,986","$1,816,406","$1,944,392",Society Films,"$18,600",11 theaters,N/A,N/A,"Biography, Drama, Romance","Jun 30, 2017"
Moka,"$129,547","$1,363,520","$1,493,067",Film Movement,"$10,094",18 theaters,N/A,N/A,Drama,"Jun 14, 2017"
Things to Come,"$388,140","$5,250,553","$5,638,693",IFC Films,"$31,936",22 theaters,N/A,PG-13,Drama,"Dec 2, 2016"
Thelma,"$147,391","$1,316,336","$1,463,727",The Orchard,"$10,841",39 theaters,N/A,N/A,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller","Nov 10, 2017"
Dawson City: Frozen Time,"$132,369",N/A,"$132,369",Kino Lorber,N/A,8 theaters,N/A,N/A,"Documentary, History","Oct 2, 2016"
The Handmaiden,"$2,006,788","$35,686,098","$37,692,886",Magnolia Pictures,"$92,129",125 theaters,N/A,N/A,"Drama, Romance, Thriller","Oct 21, 2016"
"Hare Krishna! The Mantra, the Movement and the Swami Who Started It","$133,006",N/A,"$133,006",Abramorama,"$22,310",54 theaters,N/A,N/A,Documentary,"Jun 16, 2017"
The Other Side of Hope,"$183,943","$4,099,030","$4,282,973",Janus Films,"$15,495",11 theaters,N/A,N/A,"Comedy, Drama","Dec 1, 2017"
Lupin the 3rd: Castle of Cagliostro,"$142,425","$9,377","$151,802",Eleven Arts,N/A,571 theaters,N/A,N/A,"Adventure, Animation, Family, Fantasy","Sep 8, 2017"
Irving Berlin's Holiday Inn The Broadway Musical,"$144,550",N/A,"$144,550",Fathom Events,N/A,395 theaters,N/A,N/A,Musical,"Nov 16, 2017"
The Last Dalai Lama?,"$145,524",N/A,"$145,524",Matson Films,"$9,786",18 theaters,N/A,N/A,Documentary,"Jul 7, 2017"
A Man Called Ove,"$3,479,315","$27,212,381","$30,691,696",Music Box Films,"$54,608",194 theaters,N/A,PG-13,"Comedy, Drama, Romance","Sep 30, 2016"
The Ex-File 3: The Return of The Exes,"$838,959","$306,753,468","$307,592,427",China Lion Film Distribution,"$125,291",24 theaters,N/A,N/A,"Comedy, Romance","Dec 29, 2017"
Jack Reacher: Never Go Back,"$58,697,076","$103,449,000","$162,146,076",Paramount Pictures,"$22,872,490","3,780 theaters","$60,000,000",PG-13,"Action, Thriller","Oct 21, 2016"
Restless Creature: Wendy Whelan,"$147,780",N/A,"$147,780",Abramorama,"$19,879",8 theaters,N/A,N/A,Documentary,"May 23, 2017"
Blade of the Immortal,"$150,532","$7,012,085","$7,162,617",Magnolia Pictures,"$49,569",31 theaters,N/A,R,"Action, Drama","Nov 3, 2017"
The Unknown Girl,"$150,549","$2,282,091","$2,432,640",IFC Films,"$13,477",28 theaters,N/A,N/A,"Crime, Drama, Mystery, Thriller","Sep 8, 2017"
The Void,"$151,042","$217,330","$368,372",Screen Media Films,"$50,026",31 theaters,N/A,N/A,"Horror, Mystery, Sci-Fi, Thriller","Apr 7, 2017"
Bombshell: The Hedy Lamarr Story,"$820,300","$271,977","$1,092,277",Zeitgeist Films,"$8,000",36 theaters,N/A,N/A,"Biography, Documentary, History, War","Nov 24, 2017"
Endless Poetry,"$153,440","$401,266","$554,706",ABKCO Films,"$28,591",18 theaters,N/A,N/A,"Biography, Drama, Fantasy","Jul 14, 2017"
The Journey,"$155,475","$326,734","$482,209",IFC Films,"$32,895",26 theaters,N/A,PG-13,Drama,"Jun 16, 2017"
3 Generations,"$155,936","$524,415","$680,351",The Weinstein Company,"$105,215",37 theaters,N/A,PG-13,Drama,"May 5, 2017"
Manifesto,"$161,101","$255,288","$416,389",FilmRise,"$9,628",10 theaters,N/A,N/A,Drama,"May 10, 2017"
13 Minutes,"$161,531","$1,166,702","$1,328,233",Sony Pictures Classics,"$11,750",19 theaters,N/A,R,"Biography, Drama, War","Jun 30, 2017"
"Polina, danser sa vie","$165,203","$835,271","$1,000,474",Oscilloscope,"$12,588",31 theaters,N/A,N/A,Drama,"Aug 25, 2017"
Valley of Bones,"$168,738",N/A,"$168,738",Smith Global Media,"$107,393",300 theaters,N/A,R,"Crime, Thriller, Western","Sep 1, 2017"
9/11,"$170,000","$30,229","$200,229",Atlas Distribution Company,"$170,000",425 theaters,N/A,R,Action,"Sep 8, 2017"
In This Corner of the World,"$172,147","$19,324,161","$19,496,308",FUNimation Entertainment,"$24,205",20 theaters,N/A,PG-13,"Animation, Drama, Family, History, War","Aug 11, 2017"
David Lynch: The Art Life,"$171,419","$140,051","$311,470",Janus Films,"$10,823",8 theaters,N/A,N/A,"Biography, Documentary","Mar 31, 2017"
Champion,"$175,232",N/A,"$175,232",ArtAffects Entertainment,"$108,591",31 theaters,N/A,PG,"Drama, Family, Sport","May 19, 2017"
Mr. Gaga: A True Story of Love and Dance,"$173,994","$491,623","$665,617",Abramorama,"$25,354",8 theaters,N/A,N/A,"Biography, Documentary","Feb 1, 2017"
Graduation,"$175,975","$1,839,027","$2,015,002",IFC Films,"$10,305",36 theaters,N/A,R,"Crime, Drama","Apr 7, 2017"
Take Every Wave: The Life of Laird Hamilton,"$176,076","$47,225","$223,301",IFC Films,"$12,636",31 theaters,N/A,N/A,"Documentary, Sport","Sep 29, 2017"
Marjorie Prime,"$180,608","$33,250","$213,858",FilmRise,"$20,668",12 theaters,N/A,N/A,"Drama, Romance, Sci-Fi","Aug 18, 2017"
Past Life,"$180,099","$11,579","$191,678",Orion Pictures,"$14,960",23 theaters,N/A,N/A,Drama,"Jun 2, 2017"
The Bad Batch,"$180,851","$21,039","$201,890",Neon,"$89,111",46 theaters,N/A,R,"Drama, Horror, Romance, Sci-Fi","Jun 23, 2017"
Whose Streets?,"$182,799",N/A,"$182,799",Magnolia Pictures,"$43,804",39 theaters,N/A,R,Documentary,"Aug 11, 2017"
Embrace: The Documentary,"$629,126","$526,137","$1,155,263",GathrFilms,N/A,77 theaters,N/A,N/A,Documentary,"Sep 19, 2016"
The Fortress,"$252,895","$28,392,553","$28,645,448",CJ Entertainment,N/A,27 theaters,N/A,N/A,"Action, Drama, History, War","Oct 6, 2017"
Almost Christmas,"$42,158,780","$422,140","$42,580,920",Universal Pictures,"$15,134,235","2,379 theaters","$17,000,000",PG-13,"Comedy, Drama","Nov 11, 2016"
Spark: A Space Tail,"$196,458","$844,231","$1,040,689",Open Road Films (II),"$116,873",365 theaters,N/A,PG,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci-Fi","Apr 14, 2017"
Risk,"$200,219","$14,450","$214,669",Neon,"$76,327",45 theaters,N/A,N/A,Documentary,"May 5, 2017"
Hubble 3D,"$52,522,904","$21,726,825","$74,249,729",Warner Bros.,"$413,477",151 theaters,N/A,N/A,Documentary,"Mar 19, 2010"
Rumble: The Indians Who Rocked The World,"$226,006",N/A,"$226,006",Kino Lorber,N/A,22 theaters,N/A,N/A,"Documentary, Music","May 18, 2017"
The Prison,"$207,481","$20,997,848","$21,205,329",Well Go USA Entertainment,"$80,376",23 theaters,N/A,N/A,"Action, Crime","Mar 31, 2017"
Donnie Darko,"$207,971","$4,063","$212,034",Arrow Films,"$57,259",21 theaters,"$6,000,000",R,"Drama, Mystery, Sci-Fi, Thriller","Mar 31, 2017"
Truman,"$210,840","$8,816,760","$9,027,600",FilmRise,"$18,258",22 theaters,N/A,N/A,"Comedy, Drama","Apr 7, 2017"
The Adventurers,"$216,556","$36,580,260","$36,796,816",Well Go USA Entertainment,"$68,614",17 theaters,N/A,N/A,"Action, Adventure, Crime, Drama","Aug 18, 2017"
All I See Is You,"$217,644","$460,506","$678,150",Open Road Films (II),"$144,076",283 theaters,"$30,000,000",R,Drama,"Oct 27, 2017"
Railroad Tigers,"$218,044","$101,987,131","$102,205,175",Well Go USA Entertainment,"$116,211",43 theaters,N/A,N/A,"Action, Adventure, Comedy, Family, War","Jan 6, 2017"
California Typewriter,"$218,563",N/A,"$218,563",Gravitas Ventures,"$5,031",20 theaters,N/A,N/A,Documentary,"Aug 18, 2017"
The Breadwinner,"$312,381","$50,926","$363,307",GKIDS,"$17,395",43 theaters,N/A,PG-13,"Animation, Drama, Family, War","Nov 17, 2017"
Jeremiah Tower: The Last Magnificent,"$228,153",N/A,"$228,153",The Orchard,"$20,268",33 theaters,N/A,R,"Biography, Documentary","Apr 21, 2017"
Little Shop of Horrors,"$233,865",N/A,"$233,865",Fathom Events,"$156,288",511 theaters,N/A,PG-13,"Comedy, Horror, Musical, Romance, Sci-Fi","Oct 27, 2017"
American Satan,"$237,708",N/A,"$237,708",Sumerian Films,"$135,378",55 theaters,N/A,R,"Drama, Music, Thriller","Oct 13, 2017"
Crown Heights,"$238,558",N/A,"$238,558",IFC Films,"$30,173",91 theaters,N/A,R,"Biography, Crime, Drama, Romance","Aug 18, 2017"
The Swindlers,"$241,916","$29,480,000","$29,721,916",Well Go USA Entertainment,"$82,818",27 theaters,N/A,N/A,"Action, Crime, Thriller","Dec 1, 2017"
The Ottoman Lieutenant,"$240,978","$172,866","$413,844",Paladin,"$149,830",216 theaters,N/A,R,"Drama, War","Mar 10, 2017"
1945,"$1,006,193","$234,470","$1,240,663",Menemsha Films,"$20,365",19 theaters,N/A,N/A,Drama,"Nov 1, 2017"
Black Butler: Book of the Atlantic,"$248,286","$262,846","$511,132",FUNimation Entertainment,N/A,187 theaters,N/A,N/A,Animation,"Jun 12, 2017"
Band Aid,"$248,370",N/A,"$248,370",IFC Films,"$29,013",35 theaters,N/A,R,"Comedy, Drama, Music, Romance","Jun 2, 2017"
Government 3,"$249,588","$109,340","$358,928",Eros International,"$164,364",107 theaters,N/A,N/A,"Action, Crime, Drama, Thriller","May 12, 2017"
Gook,"$250,130","$1,411","$251,541",The Samuel Goldwyn Company,"$27,044",27 theaters,N/A,N/A,Drama,"Aug 18, 2017"
Dean,"$254,536",N/A,"$254,536",CBS Films,"$60,366",83 theaters,N/A,PG-13,"Comedy, Drama, Romance","Jun 2, 2017"
Cezanne et Moi,"$257,597","$4,271,986","$4,529,583",Magnolia Pictures,"$15,744",29 theaters,N/A,R,"Biography, Drama","Mar 31, 2017"
Wakefield,"$262,599","$535,615","$798,214",IFC Films,"$11,299",30 theaters,N/A,R,Drama,"May 19, 2017"
"I, Daniel Blake","$260,354","$15,532,697","$15,793,051",IFC Films,"$18,682",45 theaters,N/A,R,Drama,"Jun 2, 2017"
Storks,"$72,679,278","$110,709,675","$183,388,953",Warner Bros.,"$21,311,407","3,922 theaters","$70,000,000",PG,"Adventure, Animation, Comedy, Family, Fantasy","Sep 23, 2016"
Stalker,"$269,881",N/A,"$269,881",Janus Films,"$20,540",6 theaters,N/A,N/A,"Drama, Sci-Fi","May 5, 2017"
I Do... Until I Don't,"$280,668",N/A,"$280,668",The Film Arcade,"$170,775",165 theaters,N/A,R,Comedy,"Sep 1, 2017"
After the Storm,"$272,132","$5,110,754","$5,382,886",Film Movement,"$27,880",38 theaters,N/A,N/A,"Comedy, Drama","Mar 17, 2017"
Loving,"$7,751,969","$5,205,296","$12,957,265",Focus Features,"$159,615",572 theaters,N/A,PG-13,"Biography, Drama, Romance","Nov 4, 2016"
Buddies in India,"$293,194","$109,861,934","$110,155,128",China Lion Film Distribution,"$181,705",55 theaters,N/A,N/A,"Action, Comedy","Jan 27, 2017"
Miss Peregrine's Home for Peculiar Children,"$87,242,834","$209,239,612","$296,482,446",Twentieth Century Fox,"$28,871,140","3,835 theaters","$110,000,000",PG-13,"Adventure, Drama, Family, Fantasy, Thriller","Sep 30, 2016"
Ittefaq,"$298,032","$2,222,455","$2,520,487",Yash Raj Films,"$298,032",67 theaters,N/A,N/A,"Mystery, Thriller","Nov 3, 2017"
Tom of Finland,"$378,296","$1,398,635","$1,776,931",Kino Lorber,"$13,524",12 theaters,N/A,N/A,"Biography, Drama","Oct 13, 2017"
Obit.,"$315,049",N/A,"$315,049",Kino Lorber,N/A,22 theaters,N/A,N/A,Documentary,"Jan 5, 2017"
God's Own Country,"$335,609","$2,224,330","$2,559,939",Orion Pictures,"$17,768",13 theaters,N/A,N/A,"Drama, Romance","Oct 24, 2017"
My Life as a Zucchini,"$309,766","$5,562,832","$5,872,598",GKIDS,"$31,853",53 theaters,N/A,PG-13,"Animation, Comedy, Drama, Family","Feb 24, 2017"
A Silent Voice: The Movie,"$310,407","$29,846,056","$30,156,463",Eleven Arts,"$121,732",148 theaters,N/A,N/A,"Animation, Drama, Family, Romance","Oct 20, 2017"
Citizen Jane: Battle for the City,"$313,411","$9,713","$323,124",IFC Films,"$31,451",25 theaters,N/A,N/A,"Biography, Documentary, History","Apr 21, 2017"
City Of Rock,"$312,537","$8,806,336","$9,118,873",Well Go USA Entertainment,"$115,524",43 theaters,N/A,N/A,"Comedy, Music","Oct 6, 2017"
Chuck,"$320,725","$181,793","$502,518",IFC Films,"$34,565",120 theaters,N/A,R,"Biography, Drama, Sport","May 5, 2017"
Dunkirk,"$1,695,119",N/A,"$1,695,119",Warner Bros.,"$122,115",53 theaters,"$100,000,000",PG-13,"Action, Drama, History, Thriller, War","Dec 1, 2017"
Countdown to Canelo vs. Chavez Jr.,"$343,387",N/A,"$343,387",Fathom Events,"$343,387",273 theaters,N/A,N/A,Action,"May 6, 2017"
This Is Not What I Expected,"$337,670","$30,658,945","$30,996,615",Well Go USA Entertainment,"$135,252",36 theaters,N/A,N/A,"Comedy, Drama, Romance","May 5, 2017"
Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957",N/A,"$351,957",Abramorama,"$33,272",56 theaters,N/A,R,"Documentary, Music","May 25, 2017"
Pearl Jam: Let's Play Two,"$348,833","$101,440","$450,273",Abramorama,"$53,177",201 theaters,N/A,N/A,"Documentary, Music","Sep 29, 2017"
OK Jaanu,"$355,922","$5,089,359","$5,445,281",FIP,"$225,968",121 theaters,N/A,N/A,"Drama, Romance","Jan 13, 2017"
Letters from Baghdad,"$359,735","$143,206","$502,941",Vitagraph Films,"$19,725",20 theaters,N/A,N/A,Documentary,"Jun 2, 2017"
Disney Junior HalloVeen Party!,"$359,745",N/A,"$359,745",Fathom Events,N/A,396 theaters,N/A,N/A,N/A,"Oct 21, 2017"
Kung Fu Yoga,"$362,657","$257,380,359","$257,743,016",Well Go USA Entertainment,"$111,979",27 theaters,"$65,000,000",N/A,"Action, Adventure, Comedy, Family, Fantasy, Mystery","Jan 27, 2017"
BOSTON: An American Running Story,"$364,369",N/A,"$364,369",Fathom Events,N/A,481 theaters,N/A,N/A,Documentary,"Apr 19, 2017"
Island of Lemurs: Madagascar,"$11,272,213","$2,794,321","$14,066,534",Warner Bros.,"$188,307",302 theaters,N/A,N/A,"Adventure, Biography, Documentary, Family, Short","Apr 4, 2014"
I'll Push You: A Real-Life Inspiration,"$378,899",N/A,"$378,899",Fathom Events,N/A,557 theaters,N/A,N/A,"Adventure, Documentary, Drama","Nov 2, 2017"
Rebel in the Rye,"$378,294","$566,076","$944,370",IFC Films,"$37,967",82 theaters,N/A,PG-13,"Biography, Drama, Romance, War","Sep 8, 2017"
Samurai Cop,"$384,756",N/A,"$384,756",Fathom Events,N/A,705 theaters,N/A,N/A,"Action, Crime, Thriller","Apr 13, 2017"
The Accountant,"$86,260,045","$68,900,000","$155,160,045",Warner Bros.,"$24,710,273","3,402 theaters","$44,000,000",R,"Action, Crime, Drama, Thriller","Oct 14, 2016"
"Love, Kennedy","$407,871",N/A,"$407,871",Purdie Distribution,"$45,285",19 theaters,N/A,PG,Drama,"Jun 2, 2017"
Chasing Trane: The John Coltrane Documentary,"$406,284",N/A,"$406,284",Abramorama,"$16,626",17 theaters,N/A,N/A,"Biography, Documentary, Music","Apr 14, 2017"
A Gentleman,"$410,055","$3,028,691","$3,438,746",FIP,"$191,530",135 theaters,N/A,N/A,"Action, Comedy","Aug 25, 2017"
One Piece Film: Gold,"$423,593","$65,783,480","$66,207,073",FUNimation Entertainment,"$50,241",372 theaters,N/A,N/A,"Action, Adventure, Animation, Fantasy","Jan 10, 2017"
Land of Mine,"$435,266","$2,734,287","$3,169,553",Sony Pictures Classics,N/A,40 theaters,N/A,R,"Drama, History, War","Dec 16, 2016"
Song to Song,"$443,684","$1,334,337","$1,778,021",Broad Green Pictures,"$50,559",95 theaters,N/A,R,"Drama, Music, Romance","Mar 17, 2017"
Sailor Moon R: The Movie: The Promise of the Rose,"$452,053",N/A,"$452,053",Eleven Arts,"$253,490",151 theaters,N/A,N/A,"Action, Animation, Comedy, Drama, Fantasy, Romance, Sci-Fi","Jan 19, 2017"
Phillauri,"$467,596","$5,337,434","$5,805,030",FIP,"$260,982",74 theaters,N/A,N/A,"Comedy, Drama, Fantasy, Musical, Romance","Mar 24, 2017"
Chasing the Dragon,"$456,854","$87,509,088","$87,965,942",Well Go USA Entertainment,"$138,346",52 theaters,N/A,N/A,"Action, Biography, Crime, History","Sep 29, 2017"
DCI 2017 Tour Premeire,"$467,817",N/A,"$467,817",Fathom Events,N/A,478 theaters,N/A,N/A,Documentary,"Jun 22, 2017"
Duckweed,"$471,575","$152,422,689","$152,894,264",China Lion Film Distribution,"$160,739",30 theaters,N/A,N/A,"Comedy, Drama, Fantasy","Feb 10, 2017"
Journey to the South Pacific,"$7,653,913","$7,340,963","$14,994,876",IMAX,"$8,137",19 theaters,N/A,G,"Documentary, Short","Nov 27, 2013"
Beach Rats,"$473,771","$12,852","$486,623",Neon,"$46,451",67 theaters,N/A,R,Drama,"Aug 25, 2017"
Confidential Assignment,"$475,618","$55,496,623","$55,972,241",CJ Entertainment,"$21,228",13 theaters,N/A,N/A,Action,"Jan 27, 2017"
Born to Be Wild,"$25,978,556","$15,665,919","$41,644,475",Warner Bros.,"$871,478",208 theaters,N/A,N/A,"Adventure, Documentary, Short","Apr 8, 2011"
Once Upon A Time,"$485,728","$82,400,450","$82,886,178",Well Go USA Entertainment,"$249,933",51 theaters,N/A,N/A,"Drama, Fantasy, Romance","Aug 11, 2017"
Breathe,"$490,131","$4,536,023","$5,026,154",Bleecker Street Media,"$22,285",315 theaters,N/A,PG-13,"Biography, Drama, Romance","Oct 13, 2017"
Raw,"$514,870","$2,581,945","$3,096,815",Focus World,"$24,825",45 theaters,N/A,R,"Drama, Fantasy, Horror","Mar 10, 2017"
Our President,"$507,268","$12,884,781","$13,392,049",CJ Entertainment,"$9,421",41 theaters,N/A,N/A,Documentary,"Jun 2, 2017"
Fairy Tail: Dragon Cry,"$519,461","$900,574","$1,420,035",FUNimation Entertainment,"$169,203",304 theaters,N/A,N/A,"Action, Adventure, Animation, Comedy, Fantasy","Aug 14, 2017"
Phantom Thread,"$21,198,205","$26,558,385","$47,756,590",Focus Features,"$216,495","1,186 theaters",N/A,R,"Drama, Romance",N/A
Human Flow,"$527,845","$1,296,692","$1,824,537",Magnolia Pictures,"$45,677",36 theaters,N/A,PG-13,Documentary,"Oct 13, 2017"
Brigsby Bear,"$532,669","$148,963","$681,632",Sony Pictures Classics,"$39,652",408 theaters,N/A,PG-13,"Comedy, Drama","Jul 28, 2017"
Dolores,"$555,309",N/A,"$555,309",PBS Distribution,"$13,534",33 theaters,N/A,N/A,"Biography, Documentary, History","Sep 1, 2017"
Under the Sea 3D,"$36,262,926","$19,639,698","$55,902,624",Warner Bros.,"$661,185",108 theaters,N/A,N/A,"Documentary, Short","Feb 13, 2009"
Samaritan's Purse presents Facing Darkness,"$555,533",N/A,"$555,533",Fathom Events,N/A,656 theaters,N/A,N/A,"Documentary, Drama","Apr 10, 2017"
Nocturnal Animals,"$10,663,357","$19,648,500","$30,311,857",Focus Features,"$492,648","1,262 theaters",N/A,R,"Drama, Thriller",N/A
Allied,"$40,098,064","$79,421,959","$119,520,023",Paramount Pictures,"$12,701,743","3,160 theaters","$85,000,000",R,"Action, Drama, Romance, Thriller, War","Nov 23, 2016"
Bitter Harvest,"$557,241","$347,158","$904,399",Roadside Attractions,"$219,357",127 theaters,N/A,R,"Drama, History, Romance, War","Feb 24, 2017"
Novitiate,"$580,346",N/A,"$580,346",Sony Pictures Classics,"$22,724",163 theaters,N/A,R,Drama,"Oct 27, 2017"
Tommy's Honour,"$569,306","$182,039","$751,345",Roadside Attractions,"$209,190",167 theaters,N/A,PG,"Biography, Drama, Romance, Sport","Apr 14, 2017"
Faces Places,"$953,717","$3,042,860","$3,996,577",Cohen Media Group,"$31,006",42 theaters,N/A,PG,Documentary,"Oct 6, 2017"
Master,"$597,251","$51,039,164","$51,636,415",CJ Entertainment,"$72,821",39 theaters,N/A,N/A,"Action, Crime","Dec 30, 2016"
Battle of Memories,"$594,552","$43,297,810","$43,892,362",China Lion Film Distribution,"$224,942",42 theaters,N/A,N/A,"Fantasy, Mystery, Sci-Fi, Thriller","Apr 28, 2017"
The Midwife,"$603,582","$6,682,554","$7,286,136",Music Box Films,"$21,341",44 theaters,N/A,N/A,Drama,"Jul 21, 2017"
Along With the Gods: The Two Worlds,"$1,908,823","$107,475,149","$109,383,972",Well Go USA Entertainment,"$185,546",35 theaters,N/A,N/A,"Action, Drama, Fantasy","Dec 22, 2017"
The Only Living Boy in New York,"$624,332","$1,925,989","$2,550,321",Roadside Attractions,"$54,458",289 theaters,N/A,R,Drama,"Aug 11, 2017"
Jonah: The Musical,"$631,154",N/A,"$631,154",Fathom Events,N/A,622 theaters,N/A,N/A,Musical,"May 2, 2017"
Wilson,"$653,951","$194,695","$848,646",Fox Searchlight Pictures,"$336,227",311 theaters,N/A,R,"Comedy, Drama","Mar 24, 2017"
Walk With Me,"$726,726","$879,979","$1,606,705",GathrFilms,"$9,932",61 theaters,N/A,N/A,Documentary,"Aug 11, 2017"
Shubh Mangal Savdhan,"$689,874","$498,667","$1,188,541",Eros International,"$259,999",80 theaters,N/A,N/A,"Comedy, Romance","Sep 1, 2017"
The Devotion of Suspect X,"$686,435","$58,349,229","$59,035,664",China Lion Film Distribution,"$323,207",46 theaters,N/A,N/A,"Crime, Thriller","Mar 31, 2017"
Lost in Paris,"$691,597","$1,395,628","$2,087,225",Oscilloscope,"$4,510",48 theaters,N/A,N/A,Comedy,"Jun 16, 2017"
Titanic,"$691,642","$1,984","$693,626",Paramount Pictures,"$438,602",87 theaters,"$200,000,000",PG-13,"Drama, Romance","Dec 1, 2017"
Chris Brown: Welcome To My Life,"$693,984",N/A,"$693,984",Fathom Events,N/A,413 theaters,N/A,N/A,Documentary,"Jun 8, 2017"
Countdown to Canelo vs. Golovkin,"$703,396",N/A,"$703,396",Fathom Events,"$703,396",465 theaters,N/A,N/A,Action,"Sep 16, 2017"
The Exception,"$708,973","$125,599","$834,572",A24,"$21,351",48 theaters,N/A,R,"Drama, Romance, War","Jun 2, 2017"
Revive Us 2,"$718,607",N/A,"$718,607",Fathom Events,N/A,731 theaters,N/A,N/A,Documentary,"Oct 24, 2017"
Mubarakan,"$758,868","$12,141,100","$12,899,968",Sony Pictures Entertainment (SPE),"$310,170",128 theaters,N/A,PG-13,"Comedy, Romance","Jul 28, 2017"
May It Last,"$725,286",N/A,"$725,286",Oscilloscope,"$9,616",326 theaters,N/A,N/A,"Documentary, Music","Sep 12, 2017"
George Takei's Allegiance,"$784,850",N/A,"$784,850",Fathom Events,"$784,850",476 theaters,N/A,N/A,Musical,"Feb 19, 2017"
Mark Felt: The Man Who Brought Down the White House,"$768,946","$3,603,184","$4,372,130",Sony Pictures Classics,"$34,217",332 theaters,N/A,PG-13,"Biography, Drama, History, Thriller","Sep 29, 2017"
Patti Cake$,"$800,148","$682,208","$1,482,356",Fox Searchlight Pictures,"$67,599",303 theaters,N/A,R,"Drama, Music","Aug 18, 2017"
Neruda,"$939,101","$2,945,645","$3,884,746",The Orchard,"$29,402",46 theaters,N/A,R,"Biography, Crime, Drama, History, Thriller","Dec 16, 2016"
Detective Jagga,"$861,740","$293,122","$1,154,862",UTV Motion Pictures,"$490,232",210 theaters,N/A,N/A,"Action, Adventure, Comedy, Musical, Mystery","Jul 14, 2017"
The Polar Express,"$875,150",N/A,"$875,150",Warner Bros.,"$1,321",N/A,"$165,000,000",N/A,"Adventure, Animation, Comedy, Family, Fantasy, Musical","Nov 17, 2017"
Journey to the West: The Demons Strike Back,"$880,346","$246,704,898","$247,585,244",Sony Pictures Entertainment (SPE),"$463,883",67 theaters,N/A,PG-13,"Adventure, Comedy, Family, Fantasy","Feb 3, 2017"
