title,domestic_revenue,international_reveneue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Chhichhore,"$2,004,400","$1,306,991","$3,311,391",FIP,"$614,335",195 theaters,N/A,N/A,"Comedy, Drama","Sep 6, 2019"
Luce,"$2,010,613","$257,591","$2,268,204",Neon,"$132,987",235 theaters,N/A,R,"Drama, Mystery","Aug 2, 2019"
The Wizard of Oz,"$2,076,020","$21,494","$2,097,514",Fathom Events,"$1,195,606",681 theaters,"$2,777,000",PG,"Adventure, Family, Fantasy, Musical","Jan 27, 2019"
Housefull 4,"$2,109,160","$2,525,013","$4,634,173",FIP,"$904,808",315 theaters,N/A,N/A,"Action, Comedy, Fantasy, Romance","Oct 25, 2019"
Shoplifters,"$3,313,513","$64,685,822","$67,999,335",Magnolia Pictures,"$89,264",144 theaters,N/A,R,"Crime, Drama","Nov 23, 2018"
Total Dhamaal,"$2,167,632","$24,744,363","$26,911,995",FIP,"$989,387",209 theaters,N/A,N/A,"Action, Adventure, Comedy","Feb 22, 2019"
3 from Hell,"$2,172,949","$122,876","$2,295,825",Saban Films,N/A,667 theaters,N/A,R,"Action, Horror","Sep 16, 2019"
Gone with the Wind,"$2,176,120",N/A,"$2,176,120",Fathom Events,"$1,089,932",717 theaters,N/A,N/A,"Drama, History, Romance, War","Feb 28, 2019"
Faustina: Love and Mercy,"$2,243,180","$1,255,707","$3,498,887",Fathom Events,N/A,810 theaters,N/A,N/A,"Biography, Drama, Family","Oct 28, 2019"
Super 30,"$2,269,878","$22,431,759","$24,701,637",Reliance Big Pictures,"$871,256",317 theaters,N/A,N/A,"Biography, Drama","Jul 12, 2019"
Promare,"$2,313,596","$7,153,740","$9,467,336",GKIDS,"$109,085",701 theaters,N/A,PG-13,"Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi, Thriller","Sep 17, 2019"
"My People, My Country","$2,356,683","$403,622,987","$405,979,670",CMC Pictures,"$876,001",83 theaters,N/A,N/A,"Drama, History","Oct 1, 2019"
Welcome to Marwen,"$10,763,520","$2,297,971","$13,061,491",Universal Pictures,"$2,354,205","1,911 theaters",N/A,PG-13,"Biography, Comedy, Drama, Fantasy, Romance","Dec 21, 2018"
Arctic,"$2,410,795","$1,713,220","$4,124,015",Bleecker Street Media,"$50,878",268 theaters,N/A,PG-13,"Adventure, Drama","Feb 1, 2019"
