title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Red Sparrow,"$46,874,505",N/A,N/A,Twentieth Century Fox,"$16,853,422","3,064 theaters","$69,000,000",R,"Action, Drama, Thriller","Mar 2, 2018"
The Shape of Water,"$63,859,435",N/A,N/A,Fox Searchlight Pictures,"$166,564","2,341 theaters",N/A,R,"Adventure, Drama, Fantasy, Romance, Sci-Fi, Thriller",N/A
BlacKkKlansman,"$49,275,340",N/A,N/A,Focus Features,"$10,845,330","1,914 theaters","$15,000,000",R,"Biography, Comedy, Crime, Drama","Aug 10, 2018"
I Feel Pretty,"$48,795,601",N/A,N/A,STX Entertainment,"$16,030,218","3,440 theaters","$32,000,000",PG-13,"Comedy, Romance","Apr 20, 2018"
Sicario: Day of the Soldado,"$50,072,235",N/A,N/A,Sony Pictures Entertainment (SPE),"$19,007,566","3,055 theaters","$35,000,000",R,"Action, Adventure, Crime, Drama, Mystery, Thriller","Jun 29, 2018"
Overboard,"$50,316,123",N/A,N/A,Pantelion Films,"$14,711,101","2,006 theaters","$12,000,000",PG-13,"Comedy, Romance","May 4, 2018"
The Predator,"$51,024,708",N/A,N/A,Twentieth Century Fox,"$24,632,284","4,070 theaters","$88,000,000",R,"Action, Adventure, Sci-Fi","Sep 14, 2018"
Life of the Party,"$53,059,911",N/A,N/A,Warner Bros.,"$17,886,075","3,656 theaters",N/A,PG-13,Comedy,"May 11, 2018"
A Simple Favor,"$53,548,586",N/A,N/A,Lionsgate,"$16,011,689","3,102 theaters","$20,000,000",R,"Comedy, Crime, Mystery, Thriller","Sep 14, 2018"
The Nutcracker and the Four Realms,"$54,858,851",N/A,N/A,Walt Disney Studios Motion Pictures,"$20,352,491","3,766 theaters","$120,000,000",PG,"Adventure, Family, Fantasy","Nov 2, 2018"
Tag,"$54,730,625",N/A,N/A,Warner Bros.,"$14,947,396","3,382 theaters","$28,000,000",R,"Action, Comedy","Jun 15, 2018"
Maze Runner: The Death Cure,"$58,032,443",N/A,N/A,Twentieth Century Fox,"$24,167,011","3,793 theaters","$62,000,000",PG-13,"Action, Adventure, Sci-Fi, Thriller","Jan 26, 2018"
Tomb Raider,"$58,250,803",N/A,N/A,Warner Bros.,"$23,633,317","3,854 theaters","$94,000,000",PG-13,"Action, Adventure, Fantasy, Thriller","Mar 16, 2018"
Pacific Rim: Uprising,"$59,874,525",N/A,N/A,Universal Pictures,"$28,116,535","3,708 theaters","$150,000,000",PG-13,"Action, Adventure, Sci-Fi","Mar 23, 2018"
Blockers,"$60,311,495",N/A,N/A,Universal Pictures,"$20,556,350","3,418 theaters","$21,000,000",R,Comedy,"Apr 6, 2018"
The Mule,"$103,804,407",N/A,N/A,Warner Bros.,"$17,509,431","3,329 theaters","$50,000,000",R,"Crime, Drama, Thriller","Dec 14, 2018"
Instant Family,"$67,363,237",N/A,N/A,Paramount Pictures,"$14,504,315","3,426 theaters","$48,000,000",PG-13,"Comedy, Drama","Nov 16, 2018"
Insidious: The Last Key,"$67,745,330",N/A,N/A,Universal Pictures,"$29,581,355","3,150 theaters","$10,000,000",PG-13,"Horror, Mystery, Thriller","Jan 5, 2018"
Skyscraper,"$68,420,120",N/A,N/A,Universal Pictures,"$24,905,015","3,822 theaters","$125,000,000",PG-13,"Action, Adventure, Thriller","Jul 13, 2018"
The House with a Clock in Its Walls,"$68,549,695",N/A,N/A,Universal Pictures,"$26,608,020","3,592 theaters","$42,000,000",PG,"Comedy, Family, Fantasy, Sci-Fi","Sep 21, 2018"
Book Club,"$68,566,296",N/A,N/A,Paramount Pictures,"$13,582,231","3,169 theaters",N/A,PG-13,"Comedy, Drama, Romance","May 18, 2018"
Game Night,"$69,179,066",N/A,N/A,Warner Bros.,"$17,005,332","3,502 theaters","$37,000,000",R,"Action, Comedy, Crime, Thriller","Feb 23, 2018"
The First Purge,"$69,488,745",N/A,N/A,Universal Pictures,"$17,374,280","3,038 theaters","$13,000,000",R,"Action, Horror, Sci-Fi, Thriller","Jul 4, 2018"
